current_shirt_number,firstname,lastname,int_goals,int_caps,main_position,other_position,current_market_value,highest_market_value,highest_market_value_on,date_of_birth,place_of_birth,country_of_birth,height,citizenship,dominant_foot,current_club,joined_on,contract_expiring,last_extension,transfer_history,valuation
#33,Salomón,Rondón,36,91,Centre-Forward,,€2.50m,€17.00m,"Aug 1, 2016","Sep 16, 1989",Caracas,Venezuela,186,Venezuela,right,Everton FC,"Aug 31, 2021","Jun 30, 2023",unknown,"{'season': ['21/22', '20/21', '20/21', '19/20', '18/19', '18/19', '15/16', '13/14', '12/13', '10/11', '08/09', '06/07'], 'transfer_date': ['Aug 31, 2021', 'Jun 30, 2021', 'Feb 15, 2021', 'Jul 19, 2019', 'May 31, 2019', 'Aug 6, 2018', 'Aug 10, 2015', 'Jan 31, 2014', 'Aug 5, 2012', 'Jul 19, 2010', 'Jul 21, 2008', 'Jul 1, 2006'], 'leaving_club': ['DL Pro', 'CSKA Moscow', 'DL Pro', 'West Brom', 'Newcastle', 'West Brom', 'Zenit S-Pb', 'Rubin Kazan', 'Málaga CF', 'UD Las Palmas', 'Aragua FC', 'Aragua FC U20'], 'joining_club': ['Everton', 'DL Pro', 'CSKA Moscow', 'DL Pro', 'West Brom', 'Newcastle', 'West Brom', 'Zenit S-Pb', 'Rubin Kazan', 'Málaga CF', 'UD Las Palmas', 'Aragua FC'], 'market_value': ['€5.00m', '€6.00m', '€6.50m', '€15.00m', '€15.00m', '€13.00m', '€15.00m', '€11.00m', '€9.00m', '€1.00m', '-', '-'], 'fee': ['free transfer', 'End of loan', 'Loan fee:', '', '€18.27m', 'End of loan', 'Loan fee:', '', '€17.00m', '€18.00m', '€9.00m', '€3.50m', 'free transfer', '-']}","{'club': ['UD Las Palmas', 'UD Las Palmas', 'UD Las Palmas', 'UD Las Palmas', 'UD Las Palmas', 'Mu00E1laga CF', 'Mu00E1laga CF', 'Mu00E1laga CF', 'Mu00E1laga CF', 'Mu00E1laga CF', 'Rubin Kazan', 'Rubin Kazan', 'Zenit St. Petersburg', 'Zenit St. Petersburg', 'Zenit St. Petersburg', 'Zenit St. Petersburg', 'West Bromwich Albion', 'West Bromwich Albion', 'West Bromwich Albion', 'West Bromwich Albion', 'West Bromwich Albion', 'West Bromwich Albion', 'Newcastle United', 'West Bromwich Albion', 'Dalian Professional', 'Dalian Professional', 'Dalian Professional', 'Dalian Professional', 'CSKA Moscow', 'Dalian Professional', 'Everton FC', 'Everton FC'], 'market_value': ['Є300Th.', 'Є300Th.', 'Є300Th.', 'Є600Th.', 'Є1.00m', 'Є3.50m', 'Є3.50m', 'Є5.00m', 'Є10.00m', 'Є9.00m', 'Є9.00m', 'Є11.00m', 'Є15.00m', 'Є15.00m', 'Є15.00m', 'Є15.00m', 'Є15.00m', 'Є17.00m', 'Є17.00m', 'Є15.00m', 'Є13.00m', 'Є13.00m', 'Є15.00m', 'Є15.00m', 'Є15.00m', 'Є10.00m', 'Є8.00m', 'Є6.50m', 'Є6.00m', 'Є5.00m', 'Є4.00m', 'Є2.50m'], 'age': ['18', '19', '19', '20', '20', '20', '21', '21', '21', '22', '23', '23', '24', '24', '25', '25', '26', '26', '27', '27', '28', '28', '29', '29', '29', '30', '30', '31', '31', '31', '32', '32'], 'date': ['Jul 25', 'Jan 14', 'Aug 6', 'Nov 23', 'Apr 5', 'Aug 20', 'Feb 4', 'Apr 1', 'Jul 29', 'Feb 3', 'Jan 20', 'Jun 19', 'Mar 3', 'Jul 31', 'Feb 23', 'Jun 18', 'Feb 9', 'Aug 1', 'Feb 20', 'Jun 28', 'Jan 2', 'May 28', 'Dec 19', 'Jun 28', 'Sep 5', 'Dec 27', 'Apr 8', 'Dec 26', 'Jun 2', 'Aug 23', 'Dec 23', 'Jun 15'], 'year': ['2008', '2009', '2009', '2009', '2010', '2010', '2011', '2011', '2011', '2012', '2013', '2013', '2014', '2014', '2015', '2015', '2016', '2016', '2017', '2017', '2018', '2018', '2018', '2019', '2019', '2019', '2020', '2020', '2021', '2021', '2021', '2022']}"
#9,Jamie,Vardy,7,26,Centre-Forward,,€5.00m,€20.00m,"Aug 1, 2016","Jan 11, 1987",Sheffield,England,179,England,right,Leicester City,"Jul 1, 2012","Jun 30, 2024","Aug 20, 2022","{'season': ['12/13', '11/12', '10/11', '03/04'], 'transfer_date': ['Jul 1, 2012', 'Aug 26, 2011', 'Jul 1, 2010', 'Jul 1, 2003'], 'leaving_club': ['Fleetwood', 'Halifax Town', 'Stocksbridge', 'Sheff Wed U18'], 'joining_club': ['Leicester', 'Fleetwood', 'Halifax Town', 'Stocksbridge'], 'market_value': ['€100Th.', '-', '-', '-'], 'fee': ['€1.24m', '€170Th.', '€18Th.', 'free transfer']}","{'club': ['Fleetwood Town', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City', 'Leicester City'], 'market_value': ['Є100Th.', 'Є1.00m', 'Є1.00m', 'Є750Th.', 'Є1.50m', 'Є2.00m', 'Є2.00m', 'Є4.50m', 'Є6.00m', 'Є12.00m', 'Є18.00m', 'Є20.00m', 'Є15.00m', 'Є15.00m', 'Є18.00m', 'Є20.00m', 'Є20.00m', 'Є20.00m', 'Є20.00m', 'Є16.00m', 'Є16.00m', 'Є10.00m', 'Є7.00m', 'Є5.00m', 'Є5.00m'], 'age': ['25', '25', '26', '26', '26', '27', '28', '28', '28', '29', '29', '29', '30', '30', '30', '31', '31', '32', '32', '33', '33', '34', '34', '34', '35'], 'date': ['Apr 1', 'Jul 2', 'Mar 2', 'Jul 11', 'Jan 8', 'Aug 12', 'Feb 12', 'Jul 1', 'Oct 14', 'Feb 9', 'Jun 1', 'Aug 1', 'Feb 20', 'Jun 28', 'Jan 2', 'May 28', 'Dec 19', 'Jun 13', 'Dec 10', 'Apr 8', 'Oct 13', 'Mar 18', 'Jun 8', 'Dec 23', 'Jun 15'], 'year': ['2012', '2012', '2013', '2013', '2014', '2014', '2015', '2015', '2015', '2016', '2016', '2016', '2017', '2017', '2018', '2018', '2018', '2019', '2019', '2020', '2020', '2021', '2021', '2021', '2022']}"
#9,Michail,Antonio,3,6,Centre-Forward,,€10.00m,€18.00m,"Feb 20, 2017","Mar 28, 1990",London,England,180,"Jamaica,England",right,West Ham United,"Sep 1, 2015","Jun 30, 2024","Jan 7, 2022","{'season': ['15/16', '14/15', '12/13', '11/12', '11/12', '11/12', '11/12', '09/10', '09/10', '08/09', '08/09', '08/09', '08/09', '08/09'], 'transfer_date': ['Sep 1, 2015', 'Aug 6, 2014', 'Aug 6, 2012', 'May 31, 2012', 'Feb 21, 2012', 'Nov 13, 2011', 'Aug 15, 2011', 'May 31, 2010', 'Oct 5, 2009', 'May 31, 2009', 'Feb 19, 2009', 'Feb 17, 2009', 'Jan 9, 2009', 'Oct 28, 2008'], 'leaving_club': ['Nottm Forest', 'Sheff Wed', 'Reading', 'Sheff Wed', 'Reading', 'Colchester Utd.', 'Reading', 'Southampton', 'Reading', 'Cheltenham', 'Reading', 'Tooting & Mitcham FC', 'Reading', 'Tooting & Mitcham FC'], 'joining_club': ['West Ham', 'Nottm Forest', 'Sheff Wed', 'Reading', 'Sheff Wed', 'Reading', 'Colchester Utd.', 'Reading', 'Southampton', 'Reading', 'Cheltenham', 'Reading', 'Tooting & Mitcham FC', 'Reading'], 'market_value': ['€2.50m', '€1.50m', '€250Th.', '€200Th.', '€200Th.', '€200Th.', '€200Th.', '€200Th.', '-', '-', '-', '-', '-', '-'], 'fee': ['€9.50m', '€1.90m', '€900Th.', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', '?']}","{'club': ['Southampton FC', 'Southampton FC', 'Reading FC', 'Sheffield Wednesday', 'Sheffield Wednesday', 'Sheffield Wednesday', 'Sheffield Wednesday', 'Nottingham Forest', 'West Ham United', 'West Ham United', 'West Ham United', 'West Ham United', 'West Ham United', 'West Ham United', 'West Ham United', 'West Ham United', 'West Ham United', 'West Ham United', 'West Ham United', 'West Ham United', 'West Ham United', 'West Ham United', 'West Ham United', 'West Ham United', 'West Ham United'], 'market_value': ['Є50Th.', 'Є200Th.', 'Є250Th.', 'Є750Th.', 'Є1.50m', 'Є1.50m', 'Є1.50m', 'Є2.50m', 'Є7.00m', 'Є7.00m', 'Є9.00m', 'Є13.00m', 'Є18.00m', 'Є18.00m', 'Є18.00m', 'Є15.00m', 'Є12.00m', 'Є15.00m', 'Є12.00m', 'Є9.50m', 'Є12.00m', 'Є12.00m', 'Є12.00m', 'Є12.00m', 'Є10.00m'], 'age': ['19', '20', '22', '22', '22', '23', '23', '24', '25', '25', '26', '26', '26', '27', '27', '28', '28', '29', '29', '30', '30', '30', '31', '31', '32'], 'date': ['Jan 28', 'Apr 27', 'Jun 22', 'Sep 15', 'Mar 2', 'Jul 12', 'Jan 8', 'Feb 24', 'Oct 14', 'Feb 9', 'Aug 1', 'Oct 24', 'Feb 20', 'Jun 28', 'Jan 2', 'May 28', 'Dec 19', 'Jun 13', 'Dec 10', 'Apr 8', 'Oct 13', 'Mar 18', 'Jun 3', 'Dec 23', 'Jun 15'], 'year': ['2010', '2010', '2012', '2012', '2013', '2013', '2014', '2015', '2015', '2016', '2016', '2016', '2017', '2017', '2018', '2018', '2018', '2019', '2019', '2020', '2020', '2021', '2021', '2021', '2022']}"
#35,Cameron,Archer,4,4,Centre-Forward,,€6.00m,€6.00m,"May 13, 2022","Dec 9, 2001",Walsall,England,175,"England,Jamaica",right,Aston Villa,"Jul 1, 2021","Jun 30, 2027","Aug 5, 2022","{'season': ['21/22', '21/22', '21/22', '20/21', '20/21', '19/20', '18/19'], 'transfer_date': ['May 31, 2022', 'Jan 24, 2022', 'Jul 1, 2021', 'May 31, 2021', 'Oct 2, 2020', 'Jul 1, 2019', 'Jul 1, 2018'], 'leaving_club': ['Preston', 'Aston Villa', 'Aston Villa U23', 'Solihull Moors', 'Aston Villa U23', 'Aston Villa U18', 'A. Villa Yth.'], 'joining_club': ['Aston Villa', 'Preston', 'Aston Villa', 'Aston Villa U23', 'Solihull Moors', 'Aston Villa U23', 'Aston Villa U18'], 'market_value': ['€6.00m', '€500Th.', '-', '-', '-', '-', '-'], 'fee': ['End of loan', 'loan transfer', '-', 'End of loan', 'loan transfer', '-', '-']}","{'club': ['Aston Villa', 'Aston Villa', 'Preston North End'], 'market_value': ['Є300Th.', 'Є500Th.', 'Є6.00m'], 'age': ['19', '20', '20'], 'date': ['Oct 5', 'Dec 23', 'May 13'], 'year': ['2021', '2021', '2022']}"
#14,Eddie,Nketiah,16,17,Centre-Forward,,€16.00m,€20.00m,"Oct 13, 2020","May 30, 1999",London,England,175,"England,Ghana",right,Arsenal FC,"Jan 1, 2019","Jun 30, 2027","Jun 18, 2022","{'season': ['19/20', '19/20', '18/19', '17/18', '15/16'], 'transfer_date': ['Jan 1, 2020', 'Aug 8, 2019', 'Jan 1, 2019', 'Jul 1, 2017', 'Jul 1, 2015'], 'leaving_club': ['Leeds', 'Arsenal', 'Arsenal U23', 'Arsenal U18', 'Chelsea Youth'], 'joining_club': ['Arsenal', 'Leeds', 'Arsenal', 'Arsenal U23', 'Arsenal U18'], 'market_value': ['€8.00m', '€8.00m', '-', '-', '-'], 'fee': ['End of loan', 'loan transfer', '-', '-', 'free transfer']}","{'club': ['Arsenal FC', 'Arsenal FC', 'Arsenal FC', 'Arsenal FC', 'Arsenal FC', 'Arsenal FC', 'Arsenal FC', 'Arsenal FC', 'Arsenal FC', 'Arsenal FC'], 'market_value': ['Є8.00m', 'Є12.00m', 'Є11.00m', 'Є15.00m', 'Є20.00m', 'Є18.00m', 'Є16.00m', 'Є12.00m', 'Є10.00m', 'Є16.00m'], 'age': ['20', '20', '20', '21', '21', '21', '22', '22', '22', '23'], 'date': ['Jun 13', 'Mar 9', 'Apr 8', 'Jul 30', 'Oct 13', 'Mar 18', 'Jun 8', 'Oct 5', 'Dec 23', 'Jun 15'], 'year': ['2019', '2020', '2020', '2020', '2020', '2021', '2021', '2021', '2021', '2022']}"
#9,,Richarlison,16,37,Centre-Forward,,€50.00m,€65.00m,"Mar 6, 2020","May 10, 1997",Nova Venécia,Brazil,184,Brazil,right,Tottenham Hotspur,"Jul 1, 2022","Jun 30, 2027",unknown,"{'season': ['22/23', '18/19', '17/18', '15/16', '14/15'], 'transfer_date': ['Jul 1, 2022', 'Jul 24, 2018', 'Aug 8, 2017', 'Jan 1, 2016', 'May 1, 2015'], 'leaving_club': ['Everton', 'Watford', 'Fluminense', 'América-MG', 'América-MG U20'], 'joining_club': ['Spurs', 'Everton', 'Watford', 'Fluminense', 'América-MG'], 'market_value': ['€48.00m', '€25.00m', '€2.00m', '€700Th.', '-'], 'fee': ['€58.00m', '€39.20m', '€12.40m', '€2.38m', '-']}","{'club': ['Amu00E9rica Futebol Clube x28MGx29', 'Amu00E9rica Futebol Clube x28MGx29', 'Fluminense Football Club', 'Fluminense Football Club', 'Watford FC', 'Watford FC', 'Watford FC', 'Everton FC', 'Everton FC', 'Everton FC', 'Everton FC', 'Everton FC', 'Everton FC', 'Everton FC', 'Everton FC', 'Everton FC', 'Everton FC', 'Everton FC', 'Everton FC', 'Everton FC', 'Tottenham Hotspur'], 'market_value': ['Є450Th.', 'Є700Th.', 'Є2.00m', 'Є2.00m', 'Є7.00m', 'Є20.00m', 'Є25.00m', 'Є35.00m', 'Є45.00m', 'Є45.00m', 'Є50.00m', 'Є60.00m', 'Є65.00m', 'Є52.00m', 'Є60.00m', 'Є60.00m', 'Є55.00m', 'Є55.00m', 'Є50.00m', 'Є48.00m', 'Є50.00m'], 'age': ['18', '18', '19', '19', '20', '20', '21', '21', '21', '21', '22', '22', '22', '22', '23', '23', '24', '24', '24', '25', '25'], 'date': ['Sep 11', 'Dec 15', 'May 27', 'Nov 28', 'Aug 16', 'Jan 2', 'May 28', 'Aug 13', 'Oct 17', 'Dec 19', 'Jun 13', 'Dec 10', 'Mar 6', 'Apr 8', 'Oct 13', 'Mar 18', 'Jun 8', 'Dec 23', 'Mar 29', 'Jun 15', 'Sep 15'], 'year': ['2015', '2015', '2016', '2016', '2017', '2018', '2018', '2018', '2018', '2018', '2019', '2019', '2020', '2020', '2020', '2021', '2021', '2021', '2022', '2022', '2022']}"
#9,Anthony,Martial,2,30,Centre-Forward,,€16.00m,€65.00m,"Jan 2, 2018","Dec 5, 1995",Massy,France,181,"France,Guadeloupe",right,Manchester United,"Sep 1, 2015","Jun 30, 2024","Jan 31, 2019","{'season': ['21/22', '21/22', '15/16', '13/14', '12/13'], 'transfer_date': ['Jun 30, 2022', 'Jan 25, 2022', 'Sep 1, 2015', 'Jul 1, 2013', 'Jul 1, 2012'], 'leaving_club': ['Sevilla FC', 'Man Utd', 'Monaco', 'Olymp. Lyon B', 'Olymp. Lyon U19'], 'joining_club': ['Man Utd', 'Sevilla FC', 'Man Utd', 'Monaco', 'Olymp. Lyon B'], 'market_value': ['€16.00m', '€32.00m', '€8.00m', '-', '-'], 'fee': ['End of loan', 'loan transfer', '€60.00m', '€5.00m', '-']}","{'club': ['AS Monaco', 'AS Monaco', 'AS Monaco', 'AS Monaco', 'AS Monaco', 'AS Monaco', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Manchester United', 'Sevilla FC', 'Sevilla FC'], 'market_value': ['Є4.00m', 'Є4.75m', 'Є5.00m', 'Є5.00m', 'Є5.00m', 'Є8.00m', 'Є25.00m', 'Є30.00m', 'Є32.00m', 'Є32.00m', 'Є30.00m', 'Є30.00m', 'Є35.00m', 'Є65.00m', 'Є65.00m', 'Є60.00m', 'Є60.00m', 'Є60.00m', 'Є60.00m', 'Є48.00m', 'Є58.00m', 'Є60.00m', 'Є55.00m', 'Є50.00m', 'Є45.00m', 'Є35.00m', 'Є32.00m', 'Є28.00m', 'Є16.00m'], 'age': ['17', '18', '18', '18', '19', '19', '19', '20', '20', '20', '21', '21', '21', '22', '22', '22', '23', '23', '24', '24', '24', '24', '25', '25', '25', '25', '26', '26', '26'], 'date': ['Jul 2', 'Jan 14', 'Feb 5', 'Aug 7', 'Jan 14', 'Jun 6', 'Oct 14', 'Feb 9', 'Jun 1', 'Aug 1', 'Feb 20', 'Jun 28', 'Oct 23', 'Jan 2', 'May 28', 'Oct 17', 'Dec 19', 'Jun 13', 'Dec 10', 'Apr 8', 'Jul 30', 'Oct 13', 'Dec 17', 'Mar 18', 'Jun 8', 'Oct 5', 'Dec 23', 'Mar 21', 'Jun 3'], 'year': ['2013', '2014', '2014', '2014', '2015', '2015', '2015', '2016', '2016', '2016', '2017', '2017', '2017', '2018', '2018', '2018', '2018', '2019', '2019', '2020', '2020', '2020', '2020', '2021', '2021', '2021', '2021', '2022', '2022']}"
#9,Pierre-Emerick,Aubameyang,30,73,Centre-Forward,,€15.00m,€75.00m,"May 28, 2018","Jun 18, 1989",Laval,France,187,"Gabon,France",right,Chelsea FC,"Sep 1, 2022","Jun 30, 2024",unknown,"{'season': ['22/23', '21/22', '17/18', '13/14', '11/12', '11/12', '10/11', '10/11', '10/11', '09/10', '09/10', '08/09', '08/09', '08/09', '06/07', '05/06'], 'transfer_date': ['Sep 1, 2022', 'Jan 31, 2022', 'Jan 31, 2018', 'Jul 4, 2013', 'Jan 1, 2012', 'Dec 31, 2011', 'Jan 31, 2011', 'Jan 30, 2011', 'Jul 6, 2010', 'Jun 30, 2010', 'Jul 1, 2009', 'Jun 30, 2009', 'Jul 2, 2008', 'Jul 1, 2008', 'Jan 1, 2007', 'Jul 1, 2005'], 'leaving_club': ['Barcelona', 'Arsenal', 'Bor. Dortmund', 'Saint-Étienne', 'AC Milan', 'Saint-Étienne', 'AC Milan', 'Monaco', 'AC Milan', 'LOSC Lille', 'AC Milan', 'Dijon', 'AC Milan', 'Milan U19', 'SC Bastia U19', 'FC Rouen U19'], 'joining_club': ['Chelsea', 'Barcelona', 'Arsenal', 'Bor. Dortmund', 'Saint-Étienne', 'AC Milan', 'Saint-Étienne', 'AC Milan', 'Monaco', 'AC Milan', 'LOSC Lille', 'AC Milan', 'Dijon', 'AC Milan', 'Milan U19', 'SC Bastia U19'], 'market_value': ['€15.00m', '€15.00m', '€65.00m', '€15.00m', '€4.00m', '€4.00m', '€3.00m', '€3.00m', '€1.70m', '€1.70m', '€1.00m', '€1.00m', '-', '-', '-', '-'], 'fee': ['€12.00m', 'free transfer', '€63.75m', '€13.00m', '€1.80m', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', 'End of loan', 'loan transfer', '-', '?', '?']}","{'club': ['Dijon FCO', 'Dijon FCO', 'Dijon FCO', 'Dijon FCO', 'LOSC Lille', 'LOSC Lille', 'AS Monaco', 'AS Monaco', 'AS Saintx2Du00C9tienne', 'AS Saintx2Du00C9tienne', 'AS Saintx2Du00C9tienne', 'AS Saintx2Du00C9tienne', 'AS Saintx2Du00C9tienne', 'AS Saintx2Du00C9tienne', 'Borussia Dortmund', 'Borussia Dortmund', 'Borussia Dortmund', 'Borussia Dortmund', 'Borussia Dortmund', 'Borussia Dortmund', 'Borussia Dortmund', 'Borussia Dortmund', 'Borussia Dortmund', 'Borussia Dortmund', 'Arsenal FC', 'Arsenal FC', 'Arsenal FC', 'Arsenal FC', 'Arsenal FC', 'Arsenal FC', 'Arsenal FC', 'Arsenal FC', 'Arsenal FC', 'Arsenal FC', 'FC Barcelona'], 'market_value': ['Є50Th.', 'Є300Th.', 'Є700Th.', 'Є1.00m', 'Є1.50m', 'Є1.70m', 'Є2.50m', 'Є3.00m', 'Є2.80m', 'Є4.00m', 'Є6.50m', 'Є7.00m', 'Є10.00m', 'Є15.00m', 'Є17.00m', 'Є17.00m', 'Є19.00m', 'Є25.00m', 'Є35.00m', 'Є45.00m', 'Є45.00m', 'Є65.00m', 'Є65.00m', 'Є65.00m', 'Є75.00m', 'Є75.00m', 'Є70.00m', 'Є70.00m', 'Є56.00m', 'Є50.00m', 'Є40.00m', 'Є35.00m', 'Є25.00m', 'Є15.00m', 'Є15.00m'], 'age': ['19', '19', '19', '19', '20', '20', '21', '21', '21', '22', '22', '22', '23', '23', '24', '25', '25', '26', '26', '26', '27', '27', '28', '28', '28', '29', '29', '30', '30', '31', '31', '31', '31', '32', '32'], 'date': ['Jul 20', 'Sep 5', 'Dec 13', 'Jun 3', 'Sep 4', 'May 18', 'Sep 8', 'Dec 28', 'May 24', 'Dec 24', 'May 23', 'Jun 14', 'Jan 7', 'May 30', 'Feb 12', 'Jul 10', 'Feb 4', 'Jul 1', 'Oct 16', 'Feb 15', 'Jul 22', 'Feb 7', 'Jun 19', 'Dec 28', 'May 28', 'Dec 19', 'Jun 13', 'Dec 10', 'Apr 8', 'Oct 13', 'Dec 17', 'Mar 18', 'Jun 8', 'Dec 23', 'Jun 3'], 'year': ['2008', '2008', '2008', '2009', '2009', '2010', '2010', '2010', '2011', '2011', '2012', '2012', '2013', '2013', '2014', '2014', '2015', '2015', '2015', '2016', '2016', '2017', '2017', '2017', '2018', '2018', '2019', '2019', '2020', '2020', '2020', '2021', '2021', '2021', '2022']}"
#9,,Roberto Firmino,17,55,Centre-Forward,,€32.00m,€90.00m,"Dec 10, 2019","Oct 2, 1991",Maceió,Brazil,181,Brazil,right,Liverpool FC,"Jul 1, 2015","Jun 30, 2023","Apr 29, 2018","{'season': ['15/16', '10/11', '10/11', '09/10', '09/10', '09/10'], 'transfer_date': ['Jul 1, 2015', 'Jan 1, 2011', 'Dec 31, 2010', 'Apr 1, 2010', 'Mar 31, 2010', 'Jan 1, 2010'], 'leaving_club': ['TSG Hoffenheim', 'Tombense', 'Figueirense FC', 'Tombense', 'Figueirense FC', 'Figueirense U17'], 'joining_club': ['Liverpool', 'TSG Hoffenheim', 'Tombense', 'Figueirense FC', 'Tombense', 'Figueirense FC'], 'market_value': ['€25.00m', '-', '-', '-', '-', '-'], 'fee': ['€41.00m', '€4.00m', 'End of loan', 'loan transfer', '?', '-']}","{'club': ['TSG 1899 Hoffenheim', 'TSG 1899 Hoffenheim', 'TSG 1899 Hoffenheim', 'TSG 1899 Hoffenheim', 'TSG 1899 Hoffenheim', 'TSG 1899 Hoffenheim', 'TSG 1899 Hoffenheim', 'TSG 1899 Hoffenheim', 'TSG 1899 Hoffenheim', 'TSG 1899 Hoffenheim', 'TSG 1899 Hoffenheim', 'Liverpool FC', 'Liverpool FC', 'Liverpool FC', 'Liverpool FC', 'Liverpool FC', 'Liverpool FC', 'Liverpool FC', 'Liverpool FC', 'Liverpool FC', 'Liverpool FC', 'Liverpool FC', 'Liverpool FC', 'Liverpool FC', 'Liverpool FC', 'Liverpool FC', 'Liverpool FC', 'Liverpool FC', 'Liverpool FC'], 'market_value': ['Є4.00m', 'Є4.00m', 'Є6.00m', 'Є6.00m', 'Є7.00m', 'Є6.50m', 'Є6.50m', 'Є11.00m', 'Є15.00m', 'Є25.00m', 'Є25.00m', 'Є25.00m', 'Є35.00m', 'Є35.00m', 'Є35.00m', 'Є35.00m', 'Є38.00m', 'Є50.00m', 'Є80.00m', 'Є80.00m', 'Є80.00m', 'Є90.00m', 'Є72.00m', 'Є72.00m', 'Є55.00m', 'Є50.00m', 'Є40.00m', 'Є38.00m', 'Є32.00m'], 'age': ['19', '19', '20', '20', '20', '21', '21', '21', '22', '22', '23', '23', '24', '24', '24', '25', '25', '26', '26', '27', '27', '28', '28', '29', '29', '29', '30', '30', '30'], 'date': ['Jan 12', 'Jun 29', 'Oct 18', 'Jan 23', 'Jun 29', 'Jan 13', 'Jun 30', 'Aug 27', 'Feb 12', 'Jul 10', 'Feb 4', 'Jul 1', 'Oct 14', 'Feb 9', 'Aug 1', 'Feb 20', 'Jun 28', 'Jan 2', 'May 28', 'Dec 19', 'Jun 13', 'Dec 10', 'Apr 8', 'Oct 13', 'Mar 18', 'Jun 8', 'Oct 5', 'Dec 23', 'Jun 15'], 'year': ['2011', '2011', '2011', '2012', '2012', '2013', '2013', '2013', '2014', '2014', '2015', '2015', '2015', '2016', '2016', '2017', '2017', '2018', '2018', '2018', '2019', '2019', '2020', '2020', '2021', '2021', '2021', '2021', '2022']}"
#27,Darwin,Núñez,2,13,Centre-Forward,,€70.00m,€70.00m,"Sep 15, 2022","Jun 24, 1999",Artigas,Uruguay,187,Uruguay,right,Liverpool FC,"Jul 1, 2022","Jun 30, 2028",unknown,"{'season': ['22/23', '20/21', '19/20', '17/18', '15/16'], 'transfer_date': ['Jul 1, 2022', 'Sep 4, 2020', 'Aug 29, 2019', 'Jul 1, 2017', 'Jul 1, 2015'], 'leaving_club': ['Benfica', 'UD Almería', 'Peñarol', 'CA Peñarol U19', 'Peñarol Yth.'], 'joining_club': ['Liverpool', 'Benfica', 'UD Almería', 'Peñarol', 'CA Peñarol U19'], 'market_value': ['€55.00m', '€10.00m', '€750Th.', '-', '-'], 'fee': ['€75.00m', '€34.00m', '€15.25m', '-', '-']}","{'club': ['CA Peu00F1arol', 'CA Peu00F1arol', 'UD Almeru00EDa', 'UD Almeru00EDa', 'UD Almeru00EDa', 'UD Almeru00EDa', 'SL Benfica', 'SL Benfica', 'SL Benfica', 'SL Benfica', 'SL Benfica', 'SL Benfica', 'SL Benfica', 'Liverpool FC'], 'market_value': ['Є200Th.', 'Є750Th.', 'Є2.00m', 'Є2.00m', 'Є1.80m', 'Є10.00m', 'Є18.00m', 'Є25.00m', 'Є20.00m', 'Є20.00m', 'Є32.00m', 'Є40.00m', 'Є55.00m', 'Є70.00m'], 'age': ['19', '19', '20', '20', '20', '21', '21', '21', '21', '21', '22', '22', '22', '23'], 'date': ['Mar 3', 'Jun 16', 'Sep 10', 'Dec 20', 'Apr 8', 'Jul 23', 'Oct 22', 'Jan 28', 'Mar 25', 'May 21', 'Dec 27', 'Mar 10', 'May 31', 'Sep 15'], 'year': ['2019', '2019', '2019', '2019', '2020', '2020', '2020', '2021', '2021', '2021', '2021', '2022', '2022', '2022']}"
